Topic,Count,Name,Representation,Representative_Docs
-1,278,-1_forma_columna_color de_mas,"['forma', 'columna', 'color de', 'mas', 'las figuras', 'verde', 'hasta', 'la figura', 'camino', 'formas']","['hay varios cuadrados de un color rodeados por cuadrados de otro color, entre dos de ellos se forma un camino de color gris. una vez llega al output, los cuadrados del centro de los cuadrados donde se formo el camino se intercambian con los que no se encuentran en el camino y estos se eliminan. la grilla de entrada y salida tienen el mismo tamaño. si hay mas de 4 cuadrados, se intercambian por el cuadrado mas cercano que no este esquinado.', 'Si una columna de figuras tiene en su base una línea horizontal roja, dichas figuras se pintan de gris. En cambio si en su base hay una línea horizontal verde, se copian por arriba las figuras de la columna a su derecha, pintadas del mismo color que las figuras originales en la columna de base verde, de manera tal que la figura original más alta se superponga con la figura copiada más baja. Si no hay ningún color en la base, las figuras de la columna se mantienen igual. Se borran las bases de color en las columnas. En el caso que la columna de base roja quede justo a la derecha de la columna de base verde, se copian las figuras correspondientes sin superponer a la superior original con la inferior copiada. Si la columna de base verde es la última a la derecha, se copian los elementos de la primer columna de la izquierda.', 'En la entrada hay cuadrados de distinto color, cada cuadrado de 3x3 tiene un camino que lleva a otro lugar, en este otro lugar tenes que poner los cuadrados faltantes para completar el cuadrado 3x3. En medio del camino hay un rectangulo color bordo que ""tapa"" el camino. Los caminos se mantienen en el mismo rumbo cuando estan dentro del cuadrado, es decir si entra yendo hacia abajo desde el segundo cuadrado horizontal, el camino tiene que salir por el segundo cuadrado horizontal de la parte de abajo. Si los cuadrados estan completos, en la salida se separan las esquinas y el centro y van al otro lado por el camino. La grilla es de igual tamaño en ambos casos. Si se atraviesan los caminos, se pinta de gris los cuadrados alrededor del lugar de corte de una de las lineas.']"
0,281,0_la figura_celeste_patrón_las figuras,"['la figura', 'celeste', 'patrón', 'las figuras', 'los cuadrados', 'el patrón', 'para', 'hasta', 'líneas', 'se copia']","['Se copia el patrón en la figura más grande', 'la grilla de entrada y salida son iguales. Los cuadrados encerrados en el color celeste se desplazan hacia la izquierda, si uno de estos golpea con otro de los cuadrados, no se traspasan. Pasa lo mismo pero hacia la derecha pero con los cuadrados que estan cubiertos por el color rojo. Los cuadrados rojos y celestes si se pueden traspasar con el fin de llegar al otro lado.', 'Se copia la figura para formar un patrón hacia la dirección en la que se encuentra']"
1,221,1_pixel_matriz_la matriz_los pixeles,"['pixel', 'matriz', 'la matriz', 'los pixeles', 'matriz de', 'pixeles de', 'un pixel', 'mismo color', 'el pixel', 'columna']","['Se transforma a la matriz de entrada de la siguiente forma: - Las filas y columnas sin pixeles de color pasan a tener un ancho de 2 pixeles en la matriz de salida. - Cada fila que contenga algún pixel de color pasa a tener un ancho de 4 pixeles. - Cada pixel de color pasa a tener un ancho de 4x10. - Si dos o más pixeles contiguos son del mismo color, se unen pintando del mismo color a los pixeles que los separan en la salida.', 'En la matriz de entrada tenemos un fondo con un patron y dos submatrices de colores. La sub matriz mas grande indica el tamaño de la matriz de salida y la sub matriz mas pequeña indican los pedazos que van a ir cortados del patron de la matriz de entrada y puestos en la matriz de salida.', 'En la entrada tenemos una matriz nxn con un patron (un fondo negro y pixeles de color que forman ese patron). En la salida vamos a tener una matriz (nxn)X(nxn) que se va a utilizar la matriz de entrada como una guia para hacer el mismo patron pero utilizando sub matrices de nxn que van a representar cada pixel de la matriz de entrada. Donde hay pixeles negros van a quedar negra la submatriz pero donde hay un pixel de color en la entrada, se genera una submatriz de que copia la forma de la matriz original, pero invirtiendo los colores.']"
2,88,2_dimension_dimension de_de entrada_igual la,"['dimension', 'dimension de', 'de entrada', 'igual la', 'puntos', 'salida es', 'entrada igual', 'la dimension', 'punto', 'de salida']","['la dimension de salida es distinta a la entrada. la entrada se divide en dos cuadraros y una linea de separacion. la dimension de salida es la dimension del cuadrado. se sobreponen los dos cuadraros y se hace un or de colores. se pinta de verde todo', 'la dimension de salida tiene distinta dimension de salida, misma cantidad de columnas. la entrada se divide en dos partes por una linea de color. la salida se sobrepone a la entrada, si las dos celdas superpuestas son negras, se pinta esa celda de verde. La dimension de filas de salida es el largo de cada una de las mitades.', 'dimension de entrada igual a la salida. se observa una forma y un punto de color. La salida es la forma pintada del color del punto']"
3,70,3_los cuadrados_de colores_del cuadrado_un cuadrado,"['los cuadrados', 'de colores', 'del cuadrado', 'un cuadrado', 'cuadrados del', 'los colores', 'cuadrados de', 'mismo color', 'color que', 'paleta']","['Dibujar un cuadrado cuyo tamaño lo indican los cuadrados o puntos azules de las esquinas, y el patrón de los bordes va a estar dado por las líneas o puntos de colores, estas deben repetirse cada dos cuadraditos y el borde más externo será del mismo color que aquella línea o punto que esté pegada/o al cuadrado azul.', 'en el cuadrado de la esquina superior izquierda todo se mueve en el sentido de las agujas de reloj, sin embargo, se separan los vertices y los lados del cuadrado para moverse. en el cuadrado inferior derecho, se agrupan los colores moviendo los cuadrados del mismo color en el sentido de las agujas del reloj hasta encontrarse con su semejante. la forma en la que se mueven los cuadrados dependen de su posicion, el que se encuentra mas arriba se mueve como el primer caso y la que se encuentra debajo se mueve como el segundo caso.', 'se pueden observar varias lineas de distintos tamaños las cuales en las puntas tiene un cuadrado rojo. en la esquina superior izquierda se pueden ver uno o unos cuadrados de el mismo color que las puntas de las lineas, dependiendo de la cantidad de cuadrados que se encuentren en esta esquina es cual de las lineas se debe pintar completamente de color rojo. por ejemplo si hay 3 lineas y dos cuadrados, la linea con el tamaño medio es la que va a ser pintada, es decir que mientras menos cuadrados haya en esta esquina, mas grande va a ser la linea pintada. pueden haber mas de dos lineas con distinta punta y su propio cuadrado marcador. La grilla de entrada y salida son iguales.']"
4,52,4_las figuras_cada figura_los colores_la figura,"['las figuras', 'cada figura', 'los colores', 'la figura', 'colores de', 'figura se', 'color se', 'segun', 'asignado', 'se intercambian']","['Se intercambian los colores de las figuras dentro del cuadrados', 'Se intercambian los colores de las figuras, en el orden de azul, amarillo y rojo, según la altura', 'Se intercambian los colores de las figuras rebordeadas']"
5,25,5_verde_pinta de_de verde_verde se,"['verde', 'pinta de', 'de verde', 'verde se', 'verdes', 'la linea', 'seccion', 'dos', 'la seccion', 'color verde']","['La linea creada por pixeles de color rojo funciona como una barrera de division, todo lo que queda encerrado dentro de las lineas rojas se pinta de verde, mientras que todo lo que queda por fuera se pinta de gris, eliminando el fondo naranja.', 'Arriba hay figuras con fondo celeste. En la seccion del medio Busco entre las filas y columnas si encuentro las mismas figuras que estan arriba en la fila o columna completa. Si aparecen las remarco con el fondo verde al igual que la seccion de arriba reemplazo el fondo celeste con verde; en la seccion de mas abajo lo mismo. Si no las encuentro todas de corrido en una misma fila o columna les hago el contorno verde a medida que las encuentro. La seccion de mas abajo va con rojo si llego al ultimo caso. Seccion es cada cuadrante que esta separado por una fila rosa completa.', 'el color rojo marca los bordes de un camino, lo que esta dentro del camino se pinta de verde, todo lo que esta fuera de esos bordes se pinta de gris. si hay un solo borde, la parte que tiene la mayoria de la grilla se pinta de verde. Puede haber mas de un camino']"
6,22,6_negra_negro_la figura_rectángulo,"['negra', 'negro', 'la figura', 'rectángulo', 'negros', 'hasta', 'un rectángulo', 'figura gris', 'cuadrado negro', 'línea']","['hacia donde apunta la figura gris , se encuentra una figura color negro, en la salida, a la figura negra se le saca los dos cuadraditos en la punta y se le pinta de color rosa el borde hacia el cual apunta la figura gris, grilla de entrada y salida son iguales', 'A la figura negra que comparta al menos una fila de la matriz con la figura gris, se le saca sus dos pixeles negros por fuera del cuadrado principal y se pinta de rosa a la columna de la figura negra que esté más cercana a la figura gris.', 'Cada rectángulo negro se desplaza hasta que su línea bordó asociada se superponga con la línea bordo más cercana que tenga la misma forma. Pero si por dentro contiene a una línea completamente gris o a un rectángulo completamente naranja, se desplaza hasta que su línea bordó asociada quede separada a un pixel de distancia de la línea bordo más cercana que tenga la misma forma. En el interior de cada rectángulo negro: - Si se contiene a una línea con ancho de 1 pixel, esta se pinta de naranja. - Si contiene a un rectángulo alargado verticalmente completamente gris, se pinta de naranja al pixel de la esquina superior izquierda. - Si contiene a un rectángulo alargado horizontalmente completamente gris, se pintan todos sus pixeles de naranja menos el de la esquina inferior izquierda. - Si contiene a un rectángulo alargado horizontalmente completamente naranja, se mantiene igual. - Si contiene a un rectángulo o cuadrado formado por una combinación de gris y naranja, se rota dos veces en 90 grados hacia la derecha y se intercambian los colores.']"
7,20,7_la figura_figura de_el centro_3x3,"['la figura', 'figura de', 'el centro', '3x3', 'una figura', 'en el', 'esta', 'va', 'esquina', 'del color']","['Hay figuras de colores que hacen caminos hacia otras. Hay una figura que indica el donde comienza la cual es 3x3 y tiene colores intercalados en toda su composicion, y esta la figura de llegada que es 3x3, pero sus laterales son de un mismo color y el centro de un color distinto. La figura de llegada que conecte un camino completo hasta la figura de inicio es la que se va a representar en la salida. La salida termina siendo 3x3 siendo la representacion de la figura de llegada.', 'La salida se forma por la figura gris y las dos figuras que estén conectadas a los extremos de la figura gris, con los colores de su centro cambiados. Para cambiar los centros en las figuras de dos colores, se toma como el ""color buscado"" al color de su pixel central. Luego se busca entre las figuras presentes en la entrada a alguna en la cual uno de sus dos colores sea el mismo que el color buscado. Se pinta el centro del actual con el color distinto al ""color buscado"" en la figura encontrada. Si hay más de una figuras en contacto con un extremo de la figura gris, se elije a la que tenga menos pixeles en contacto con la gris. Si una figura de dos colores está incompleta en comparación con el resto de figuras, se descarta.', 'Hay secciones separadas por una linea azul en la entrada. Las primera 2 secciones son figuras y las otras 2 son colores solidos. La primer figura amarilla esta asociado con la tercera seccion que es un color sólido. Eso significa que en la salida la primera figura toma ese color. La segunda sección son rectangulos verdes, los cuales tengo que contarlos y eso me da la cantidad de veces que se va a repetir la primera figura. El ultimo color solido va a ser el fondo entre figura y figura. El tamaño de la salida depende de la figura, y si esta en vertical la entrada la salida debe ser vertical, lo mismo si es horizontal. Entre figura y figura tiene que haber una columna o fila del color de fondo completa (si es vertical es 1 fila, horizontal 1 columna).']"
8,14,8_negros_negro_pixeles negros_la cantidad,"['negros', 'negro', 'pixeles negros', 'la cantidad', 'de pixeles', 'dentro', 'por dentro', 'cuadrante', 'nxn', 'pixel']","['Hay cuadrados de colores con pixeles negros por dentro. Todos tienen la misma cantidad de pixeles negro por dentro a excepcion de uno. Represenar el distinto en la salida.', 'La cantidad de pixeles negros la multiplico por 3 y ese numero es el tamaño de la salida nxn. Luuego la cantidad de pixeles de color es la cantidad de veces que voy a repetir la figura de la entrada empezando por el extremo izquierdo de arriba y replicando hacia la derecha.', 'Se completan los espacios negros de cada figura según las reglas indicadas por el conjunto de pixeles de color. Las reglas están formadas por pares de pixeles de colores. El primer pixel del par (a la izquierda o arriba del segundo) indica el color de la figura, mientras que el segundo pixel (a la derecha o abajo del primero) indica de qué color se deben rellenar sus espacios en negro. En caso de que no haya un primer pixel igual al color de alguna figura, los huecos de la misma se mantienen negros.']"
